date,id,longitude,latitude,time,total_precipitation_sum,temperature_2m,potential_evaporation_sum,u_component_of_wind_10m,v_component_of_wind_10m,year,month,month_name,tempC,precip_mm,pet_mm,wind_speed,balance,SPEI_3
2017-09-01,201709,-3.0500139515596465,51.750236719085805,1504224000000,0.08584585560498681,285.3893114725749,-0.08708163350820541,1.5634308060010274,0.8653855178091261,2017,9,September,12.239311472574911,85.84585560498681,87.08163350820541,1.7869549461547125,-1.2357779032186045,-0.4748361444729995
2017-10-01,201710,-3.0500139515596465,51.750236719085805,1506816000000,0.04372606970131798,284.6484218925558,-0.07289223372936249,2.6251002973125828,1.3237754824340984,2017,10,October,11.498421892555825,43.72606970131798,72.89223372936249,2.939988622230406,-29.166164028044506,-0.3495655212202177
2017-11-01,201711,-3.0500139515596465,51.750236719085805,1509494400000,0.064684113703116,279.38153500027124,-0.03241243213415146,2.243855100207859,0.016229958004421657,2017,11,November,6.231535000271265,64.684113703116,32.41243213415146,2.2439137956404753,32.27168156896454,0.11381242963732224
2017-12-01,201712,-3.0500139515596465,51.750236719085805,1512086400000,0.11657043842641812,277.1606588466193,-0.020085498690605164,2.4231804968208395,0.08888229375244469,2017,12,December,4.010658846619322,116.57043842641812,20.085498690605164,2.4248100507700774,96.48493973581296,0.61654276036278
2018-01-01,201801,-3.0500139515596465,51.750236719085805,1514764800000,0.08573929291870996,277.30357705393146,-0.035134658217430115,2.2701055503660634,0.8727585346468033,2018,1,January,4.153577053931485,85.73929291870996,35.134658217430115,2.4320951193573093,50.60463470127985,0.9912468551010595
2018-02-01,201802,-3.0500139515596465,51.750236719085805,1517443200000,0.04161626877930402,274.82586917423066,-0.04728873819112778,0.23594218918255397,-0.5778442025184631,2018,2,February,1.6758691742306837,41.61626877930402,47.28873819112778,0.6241575434299058,-5.672469411823755,0.8173542768233008
2018-03-01,201803,-3.0500139515596465,51.750236719085805,1519862400000,0.16281574100397123,276.1962151681223,-0.05537053197622299,-0.6621847588528869,-0.2628992872853433,2018,3,March,3.0462151681223304,162.81574100397123,55.37053197622299,0.7124638167038361,107.44520902774823,0.8683994191409903
2018-04-01,201804,-3.0500139515596465,51.750236719085805,1522540800000,0.10484584020413834,281.34853043026396,-0.09456036239862442,0.2570331401295132,0.693535590171814,2018,4,April,8.198530430263986,104.84584020413834,94.56036239862442,0.7396334564903106,10.28547780551392,0.6773848873515147
2018-05-01,201805,-3.0500139515596465,51.750236719085805,1525132800000,0.09029822929308651,285.0859979198825,-0.13987483829259872,-0.053265786940051664,-0.5537866917989587,2018,5,May,11.935997919882539,90.29822929308651,139.87483829259872,0.556342470131463,-49.57660899951222,0.45957668878072055
2018-06-01,201806,-3.0500139515596465,51.750236719085805,1527811200000,0.018490102120530594,288.4454716364543,-0.18606273084878922,0.03546068403455946,-0.6232526514265272,2018,6,June,15.295471636454295,18.490102120530594,186.06273084878922,0.6242606247573165,-167.57262872825862,-1.020174649977549
2018-07-01,201807,-3.0500139515596465,51.750236719085805,1530403200000,0.06138688649440027,291.042941042172,-0.20131833106279373,0.6163386337218746,0.21326489474183769,2018,7,July,17.892941042172026,61.38688649440027,201.31833106279373,0.6521926300928232,-139.93144456839346,-1.7617200981795218
2018-08-01,201808,-3.0500139515596465,51.750236719085805,1533081600000,0.06271585366431509,288.483816536524,-0.1371580734848976,2.2111375460060696,0.8061201239144931,2018,8,August,15.333816536524012,62.71585366431509,137.1580734848976,2.3534992886205983,-74.44221982058252,-1.8739577414755004
2018-09-01,201809,-3.0500139515596465,51.750236719085805,1535760000000,0.0662326739517276,285.72471868726944,-0.10076942294836044,1.764758250448439,0.7269157197740342,2018,9,September,12.574718687269467,66.2326739517276,100.76942294836044,1.908606336094596,-34.53674899663284,-1.238167978789857
2018-10-01,201810,-3.0500139515596465,51.750236719085805,1538352000000,0.08869410312821913,282.68175071798345,-0.06739818304777145,0.8558802989221388,-0.12688923522990236,2018,10,October,9.53175071798347,88.69410312821913,67.39818304777145,0.8652352073859911,21.295920080447672,-0.37393795738229113
2018-11-01,201811,-3.0500139515596465,51.750236719085805,1541030400000,0.11967585132331493,280.2352541393704,-0.0329851433634758,-0.6751920964982775,1.6925225297609965,2018,11,November,7.08525413937042,119.67585132331493,32.9851433634758,1.822228547938568,86.69070795983913,0.4863652682997881
2018-12-01,201812,-3.0500139515596465,51.750236719085805,1543622400000,0.10938546836888463,279.87494134390226,-0.02484479546546936,1.6292277574539185,1.6518570441071705,2018,12,December,6.724941343902287,109.38546836888463,24.84479546546936,2.320132491868687,84.54067290341527,1.0497312998558563
2019-01-01,201901,-3.0500139515596465,51.750236719085805,1546300800000,0.03786284233349946,276.1237236146004,-0.021049864590168,1.7084998097471011,-0.4242759468734905,2019,1,January,2.9737236146004307,37.86284233349946,21.049864590168,1.7603924786823189,16.81297774333146,1.0299245068116154
2019-02-01,201902,-3.0500139515596465,51.750236719085805,1548979200000,0.05268523334799369,278.8670016697475,-0.03862827271223068,1.3957731950850714,1.650397165900185,2019,2,February,5.7170016697475035,52.68523334799369,38.62827271223068,2.161479497318758,14.056960635763005,0.6936034389626013
2019-03-01,201903,-3.0500139515596465,51.750236719085805,1551398400000,0.10379783929234776,279.76864872183853,-0.08936464041471481,2.92827747842317,0.7251248654498849,2019,3,March,6.618648721838554,103.79783929234776,89.36464041471481,3.0167225694674134,14.433198877632947,0.3424702626179832
2019-04-01,201904,-3.0500139515596465,51.750236719085805,1554076800000,0.08691047834338406,281.132138633728,-0.11459803581237793,-1.242922486199273,0.06270425849490696,2019,4,April,7.982138633728027,86.91047834338406,114.59803581237793,1.244503166220632,-27.687557468993873,0.10810738885254376
